element_name,element_type,kw_loss,kvar_loss
Line.line_edge-000312,Line,0.001881846960912431,-0.0012380130327499987
Line.line_edge-000313,Line,0.010683710669138235,-0.007025127634515229
Line.line_edge-000314,Line,3.186388081969582e-06,-0.002817900343628665
Line.line_edge-000315,Line,1.8086898488913647e-05,-0.015967988951899558
Line.line_edge-000316,Line,1.645398033906531e-05,-0.001458734104886389
Line.line_edge-000317,Line,9.327868798754935e-05,-0.008265937120705984
Line.line_edge-000318,Line,0.0004261642038460293,-0.004914786189204831
Line.line_edge-000319,Line,0.002415217463727828,-0.0278489688026491
Line.line_edge-000320,Line,0.008547324928504864,0.001127073683596242
Line.line_edge-000321,Line,0.04843944098818937,0.0063945233362788555
Line.line_edge-000322,Line,0.002832447035745582,-0.0016904491281878363
Line.line_edge-000323,Line,0.016029712486883577,-0.00956182464190704
Line.line_edge-000324,Line,0.00012333397478414554,-0.0017594269888641066
Line.line_edge-000325,Line,0.0006979438438538637,-0.009950585429472084
Line.line_edge-000326,Line,0.00042732402140168726,-0.00606736792082255
Line.line_edge-000327,Line,0.00242187567901719,-0.03437978594698312
Line.line_edge-000328,Line,8.352931493417548e-05,-0.00683476181622705
Line.line_edge-000329,Line,0.0004729415633045982,-0.03868303686168111
Line.line_edge-000330,Line,0.0005229865997902916,-0.0036282399052036817
Line.line_edge-000331,Line,0.0029696975591036357,-0.02059157799905145
Line.line_edge-000332,Line,2.0022405961753975e-05,-0.002069209507396636
Line.line_edge-000333,Line,0.00011372358231801627,-0.011738054427871248
Line.line_edge-000334,Line,8.725968977842058e-06,-0.002153774507057847
Line.line_edge-000335,Line,4.956361814106458e-05,-0.012204310345041108
Line.line_edge-000336,Line,1.0538002740281271e-06,-0.004476503982898624
Line.line_edge-000337,Line,5.996009312310734e-06,-0.02532894651540556
Line.line_edge-000338,Line,0.012818204914205126,0.0058919196167116755
Line.line_edge-000339,Line,0.07271343787349178,0.03343497649276105
